asset_description,asset_abbreviation,can_be_connected,dbo_entity_type,ifc4_3,ifc2x3,is_ifc_default,ifc2x3_entity,ifc2x3_predefined_type,ifc4_3_entity,ifc4_3_predefined_type
distribution electric - high voltage switchboard,HVSB,1,,IfcDistributionBoardSWITCHBOARD,IfcElectricDistributionPointSWITCHBOARD,0,IfcElectricDistributionPoint,SWITCHBOARD,IfcDistributionBoard,SWITCHBOARD
distribution electric - invertor,IVT,1,,IfcTransformerINVERTER,IfcTransformer,0,IfcTransformer,,IfcTransformer,INVERTER
distribution electric - kitchen electric distribution panel/board,KDP,1,ELECTRICAL/PANEL,IfcDistributionBoard,IfcElectricDistributionPointDISTRIBUTIONBOARD,0,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,
distribution electric - load bank,LB,1,,IfcElectricFlowStorageDevice,IfcElectricFlowStorageDevice,0,IfcElectricFlowStorageDevice,,IfcElectricFlowStorageDevice,
distribution electric - low voltage switchboard,LVSB,1,,IfcDistributionBoardSWITCHBOARD,IfcElectricDistributionPointSWITCHBOARD,0,IfcElectricDistributionPoint,SWITCHBOARD,IfcDistributionBoard,SWITCHBOARD
distribution electric - main panel / board,MPNL,1,ELECTRICAL/PANEL,IfcDistributionBoard,IfcElectricDistributionPointDISTRIBUTIONBOARD,0,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,
distribution electric - main switch panel,MSP,1,ELECTRICAL/PANEL,IfcDistributionBoardSWITCHBOARD,IfcElectricDistributionPointSWITCHBOARD,0,IfcElectricDistributionPoint,SWITCHBOARD,IfcDistributionBoard,SWITCHBOARD
distribution electric - mains distribution unit,MDU,1,,IfcDistributionBoard,IfcElectricDistributionPointDISTRIBUTIONBOARD,0,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,
distribution electric - mains switchboard,MSB,1,,IfcDistributionBoardSWITCHBOARD,IfcElectricDistributionPointSWITCHBOARD,0,IfcElectricDistributionPoint,SWITCHBOARD,IfcDistributionBoard,SWITCHBOARD
distribution electric - mechanical distribution panel / board,MDP,1,ELECTRICAL/PANEL,IfcDistributionBoardDISTRIBUTIONBOARD,IfcElectricDistributionPointDISTRIBUTIONBOARD,0,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,DISTRIBUTIONBOARD
distribution electric - medium voltage switchboard,MVSB,1,,IfcDistributionBoardSWITCHBOARD,IfcElectricDistributionPointSWITCHBOARD,0,IfcElectricDistributionPoint,SWITCHBOARD,IfcDistributionBoard,SWITCHBOARD
distribution electric - panel board,PB,1,,IfcDistributionBoard,IfcElectricDistributionPointDISTRIBUTIONBOARD,0,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,
distribution electric - passive harmonic filter,PHF,0,,IfcElectricFlowStorageDeviceHARMONICFILTER,IfcElectricFlowStorageDeviceHARMONICFILTER,0,IfcElectricFlowStorageDevice,HARMONICFILTER,IfcElectricFlowStorageDevice,HARMONICFILTER
distribution electric - power distribution unit,PDU,1,,IfcDistributionBoard,IfcElectricDistributionPointDISTRIBUTIONBOARD,0,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,
distribution electric - power factor correction system,PFC,0,,IfcElectricFlowTreatmentDevice,IfcElectricDistributionPointCONTROLPANEL,0,IfcElectricDistributionPoint,CONTROLPANEL,IfcElectricFlowTreatmentDevice,
distribution electric - rectifier,REC,0,,IfcTransformerRECTIFIER,IfcTransformer,0,IfcTransformer,,IfcTransformer,RECTIFIER
distribution electric - ring main unit,RMU,0,,IfcDistributionBoard,IfcElectricDistributionPoint,0,IfcElectricDistributionPoint,,IfcDistributionBoard,
distribution electric - rising busbar,RBB,0,,IfcCableSegmentBUSBARSEGMENT,IfcCableSegment,0,IfcCableSegment,,IfcCableSegment,BUSBARSEGMENT
distribution electric - static transfer switch,STS,1,,IfcSwitchingDevice,IfcSwitchingDevice,0,IfcSwitchingDevice,,IfcSwitchingDevice,
distribution electric - switchgear (12kv typ),SWGR,1,,IfcDistributionBoardSWITCHBOARD,IfcElectricDistributionPointSWITCHBOARD,0,IfcElectricDistributionPoint,SWITCHBOARD,IfcDistributionBoard,SWITCHBOARD
distribution electric - unit substation,USS,1,ELECTRICAL/PANEL,IfcUnitaryEquipment,IfcUnitaryEquipment,0,IfcUnitaryEquipment,,IfcUnitaryEquipment,
distribution electric - ups panel / board,UPSB,1,ELECTRICAL/PANEL,IfcDistributionBoardDISTRIBUTIONBOARD,IfcElectricDistributionPointDISTRIBUTIONBOARD,0,IfcElectricDistributionPoint,DISTRIBUTIONBOARD,IfcDistributionBoard,DISTRIBUTIONBOARD
distribution piped services - pipework,PW,0,,IfcPipeSegment,IfcPipeSegment,1,IfcPipeSegment,,IfcPipeSegment,
distribution piped services - pipework fitting,PWF,0,,IfcPipeFitting,IfcPipeFitting,1,IfcPipeFitting,,IfcPipeFitting,
distribution ventilation - ductwork,DUW,0,,IfcDuctSegment,IfcDuctSegment,1,IfcDuctSegment,,IfcDuctSegment,
distribution ventilation - ductwork fire rated,FDUW,0,,IfcDuctSegment,IfcDuctSegment,0,IfcDuctSegment,,IfcDuctSegment,
distribution ventilation - ductwork fire rated fitting,FDUWF,0,,IfcDuctFitting,IfcDuctFitting,0,IfcDuctFitting,,IfcDuctFitting,
distribution ventilation - ductwork fitting,DUWF,0,,IfcDuctFitting,IfcDuctFitting,1,IfcDuctFitting,,IfcDuctFitting,
door,DR,1,,IfcDoorDOOR,IfcDoorStyle,0,IfcDoorStyle,,IfcDoor,DOOR
door - electric lock,ELOCK,1,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
door - electromagnetic door holder,EMDH,1,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
door - fire door,FDR,1,SAFETY/FDR,IfcDoorDOOR,IfcDoorStyle,0,IfcDoorStyle,,IfcDoor,DOOR
door - latch lock,LLOCK,1,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
door - magnetic lock,MLOCK,1,,IfcElectricAppliance,IfcElectricAppliance,0,IfcElectricAppliance,,IfcElectricAppliance,
